simulation,kraftstoff,energie,arbeitskosten,kreditzins,kraftstoff_aenderung_prozent,energie_aenderung_prozent,arbeitskosten_aenderung_prozent,kreditzins_aenderung_prozentpunkte
135,198.1,144.2,135.295494737,4.35,17.5667655786,-0.414364640884,1.35784686952,-0.01
136,161.6,145.1,128.393411802,4.27,-4.09495548961,0.207182320442,-3.81291115555,-0.09
137,166.2,141,122.121664327,4.27,-1.3649851632,-2.62430939227,-8.51144765439,-0.09
138,162.6,143.2,137.824842105,4.29,-3.50148367953,-1.10497237569,3.25273038909,-0.07
139,166.4,148.6,122.121664327,4.27,-1.24629080119,2.62430939227,-8.51144765439,-0.09
140,198.1,145.5,125.070398149,4.55,17.5667655786,0.483425414365,-6.30237696994,0.19
141,176.6,144,135.295494737,4.32,4.80712166172,-0.552486187845,1.35784686952,-0.04
142,173.2,143.8,138.648217105,4.21,2.78931750742,-0.690607734807,3.86956923748,-0.15
143,169.9,148,136.684714833,4.27,0.830860534125,2.20994475138,2.39859370297,-0.09
144,169.4,145.2,135.295494737,4.29,0.53412462908,0.276243093923,1.35784686952,-0.07
145,168.3,141.4,128.393411802,4.44,-0.118694362018,-2.34806629834,-3.81291115555,0.08
146,198.1,144.8,138.648217105,4.44,17.5667655786,0,3.86956923748,0.08
147,171,144.2,124.919575439,4.46,1.48367952522,-0.414364640884,-6.4153671714,0.1
148,185.7,145.2,122.121664327,4.29,10.2077151335,0.276243093923,-8.51144765439,-0.07
149,164.5,143.5,136.684714833,4.32,-2.37388724036,-0.897790055249,2.39859370297,-0.04
150,170.6,141.6,136.684714833,4.6,1.24629080119,-2.20994475138,2.39859370297,0.24
151,164.8,144.8,122.121664327,4.3,-2.19584569733,0,-8.51144765439,-0.06
152,165.7,144.9,122.121664327,4.27,-1.66172106825,0.0690607734807,-8.51144765439,-0.09
153,168.4,144.2,138.648217105,4.29,-0.0593471810089,-0.414364640884,3.86956923748,-0.07
154,167.6,143.7,158.476199458,4.46,-0.53412462908,-0.759668508287,18.7238820361,0.1
155,169.2,144.8,138.648217105,4.36,0.415430267062,0,3.86956923748,0
156,176.2,144.5,144.551595951,4.42,4.56973293769,-0.207182320442,8.29213903749,0.06
157,167.1,144.5,122.121664327,4.44,-0.830860534125,-0.207182320442,-8.51144765439,0.08
158,161.7,145.7,136.684714833,4.53,-4.03560830861,0.621546961326,2.39859370297,0.17
159,174.1,144.8,138.648217105,4.23,3.3234421365,0,3.86956923748,-0.13
160,168.3,143.7,128.393411802,4.44,-0.118694362018,-0.759668508287,-3.81291115555,0.08
161,163.7,144.8,144.551595951,4.32,-2.84866468843,0,8.29213903749,-0.04
162,170.2,143.9,122.121664327,4.34,1.00890207715,-0.621546961326,-8.51144765439,-0.02
163,162.6,144.2,125.070398149,4.47,-3.50148367953,-0.414364640884,-6.30237696994,0.11
164,153.9,144.5,125.070398149,4.45,-8.6646884273,-0.207182320442,-6.30237696994,0.09
165,166.9,143.6,144.551595951,4.35,-0.949554896142,-0.828729281768,8.29213903749,-0.01
166,174.5,144.8,144.551595951,4.41,3.56083086053,0,8.29213903749,0.05
167,146.7,144.6,128.393411802,4.32,-12.9376854599,-0.138121546961,-3.81291115555,-0.04
168,168.6,143.4,122.121664327,4.55,0.0593471810089,-0.966850828729,-8.51144765439,0.19
169,192.4,144.9,125.070398149,4.42,14.1839762611,0.0690607734807,-6.30237696994,0.06
170,161.3,144,138.648217105,4.47,-4.27299703264,-0.552486187845,3.86956923748,0.11
171,199.9,144.5,135.295494737,4.55,18.6350148368,-0.207182320442,1.35784686952,0.19
172,174.6,144,144.551595951,4.32,3.62017804154,-0.552486187845,8.29213903749,-0.04
173,168.6,144.5,135.295494737,4.27,0.0593471810089,-0.207182320442,1.35784686952,-0.09
174,177.5,144.6,136.684714833,4.44,5.3412462908,-0.138121546961,2.39859370297,0.08
175,171.8,145.2,144.551595951,4.3,1.95845697329,0.276243093923,8.29213903749,-0.06
176,164.6,143.4,128.393411802,4.47,-2.31454005935,-0.966850828729,-3.81291115555,0.11
177,162.2,144.9,124.919575439,4.29,-3.73887240356,0.0690607734807,-6.4153671714,-0.07
178,177.5,144.8,125.070398149,4.42,5.3412462908,0,-6.30237696994,0.06
179,174.1,144.8,125.070398149,4.55,3.3234421365,0,-6.30237696994,0.19
180,170.1,144.2,158.476199458,4.46,0.949554896142,-0.414364640884,18.7238820361,0.1
181,171,144.5,137.824842105,4.6,1.48367952522,-0.207182320442,3.25273038909,0.24
182,167.9,143.4,122.121664327,4.44,-0.356083086053,-0.966850828729,-8.51144765439,0.08
183,164.8,144.8,158.476199458,4.32,-2.19584569733,0,18.7238820361,-0.04
184,161.7,148.6,122.121664327,4.45,-4.03560830861,2.62430939227,-8.51144765439,0.09
185,168.2,144.2,138.648217105,4.47,-0.178041543027,-0.414364640884,3.86956923748,0.11
186,165.5,144.4,138.648217105,4.3,-1.78041543027,-0.276243093923,3.86956923748,-0.06
187,192.4,144.3,136.684714833,4.6,14.1839762611,-0.345303867403,2.39859370297,0.24
188,167.1,143.7,158.476199458,4.41,-0.830860534125,-0.759668508287,18.7238820361,0.05
189,146.7,143.7,135.295494737,4.23,-12.9376854599,-0.759668508287,1.35784686952,-0.13
190,158.9,144,138.648217105,4.29,-5.69732937685,-0.552486187845,3.86956923748,-0.07
191,146.7,143.8,158.476199458,4.35,-12.9376854599,-0.690607734807,18.7238820361,-0.01
192,170,144.8,136.684714833,4.44,0.890207715134,0,2.39859370297,0.08
193,199.9,144.4,137.824842105,4.6,18.6350148368,-0.276243093923,3.25273038909,0.24
194,175.7,144.6,137.824842105,4.32,4.27299703264,-0.138121546961,3.25273038909,-0.04
195,156.1,144.8,144.551595951,4.46,-7.3590504451,0,8.29213903749,0.1
196,162.9,145.1,128.393411802,4.45,-3.3234421365,0.207182320442,-3.81291115555,0.09
197,173.3,144.6,135.295494737,4.55,2.84866468843,-0.138121546961,1.35784686952,0.19
198,198.1,143.2,144.551595951,4.38,17.5667655786,-1.10497237569,8.29213903749,0.02
199,170.8,145.2,137.824842105,4.41,1.3649851632,0.276243093923,3.25273038909,0.05
200,165.4,140.4,135.295494737,4.44,-1.83976261128,-3.03867403315,1.35784686952,0.08
201,166.4,145.2,125.070398149,4.41,-1.24629080119,0.276243093923,-6.30237696994,0.05
202,176,144.5,137.824842105,4.3,4.45103857567,-0.207182320442,3.25273038909,-0.06
203,165,144.5,124.919575439,4.21,-2.07715133531,-0.207182320442,-6.4153671714,-0.15
204,168.2,144.8,128.393411802,4.3,-0.178041543027,0,-3.81291115555,-0.06
205,162.6,144.5,128.393411802,4.6,-3.50148367953,-0.207182320442,-3.81291115555,0.24
206,176,145.2,158.476199458,4.3,4.45103857567,0.276243093923,18.7238820361,-0.06
207,166.1,144.5,125.070398149,4.27,-1.42433234421,-0.207182320442,-6.30237696994,-0.09
208,163.7,144.8,125.070398149,4.31,-2.84866468843,0,-6.30237696994,-0.05
209,164.8,146.1,137.824842105,4.44,-2.19584569733,0.897790055249,3.25273038909,0.08
210,158.9,147.9,136.684714833,4.6,-5.69732937685,2.1408839779,2.39859370297,0.24
211,164.5,144,158.476199458,4.3,-2.37388724036,-0.552486187845,18.7238820361,-0.06
212,172.4,144.6,137.824842105,4.39,2.31454005935,-0.138121546961,3.25273038909,0.03
213,168.6,144,122.121664327,4.42,0.0593471810089,-0.552486187845,-8.51144765439,0.06
214,161.7,144.4,137.824842105,4.29,-4.03560830861,-0.276243093923,3.25273038909,-0.07
215,173.3,144.5,128.393411802,4.29,2.84866468843,-0.207182320442,-3.81291115555,-0.07
216,167.6,145.2,128.393411802,4.39,-0.53412462908,0.276243093923,-3.81291115555,0.03
217,176.6,146.1,138.648217105,4.21,4.80712166172,0.897790055249,3.86956923748,-0.15
218,168.2,141.6,125.070398149,4.3,-0.178041543027,-2.20994475138,-6.30237696994,-0.06
219,166.9,148.6,128.393411802,4.32,-0.949554896142,2.62430939227,-3.81291115555,-0.04
220,168.4,144.2,124.919575439,4.41,-0.0593471810089,-0.414364640884,-6.4153671714,0.05
221,169.4,144.4,138.648217105,4.6,0.53412462908,-0.276243093923,3.86956923748,0.24
